,Assembler,Reference,Contig,Contig Length,Phred Quality Score
116,MEGAHIT,Bacillus_subtilis,k141_75,2373,60
117,MEGAHIT,Bacillus_subtilis,k141_466,1764,60
118,MEGAHIT,Bacillus_subtilis,k141_468,8249,60
119,MEGAHIT,Bacillus_subtilis,k141_544,36801,45.65859619994211
120,MEGAHIT,Bacillus_subtilis,k141_550,1022,21.0636090880675
121,MEGAHIT,Bacillus_subtilis,k141_553,10593,40.25018972282914
122,MEGAHIT,Bacillus_subtilis,k141_557,4269,36.30326154803918
123,MEGAHIT,Bacillus_subtilis,k141_125,25997,44.14923234178444
124,MEGAHIT,Bacillus_subtilis,k141_475,7717,38.87448500249889
125,MEGAHIT,Bacillus_subtilis,k141_77,78321,60
126,MEGAHIT,Bacillus_subtilis,k141_559,37098,39.672905055543794
127,MEGAHIT,Bacillus_subtilis,k141_560,2615,60
128,MEGAHIT,Bacillus_subtilis,k141_82,36569,40.859918297525795
129,MEGAHIT,Bacillus_subtilis,k141_128,59161,39.938842558949844
130,MEGAHIT,Bacillus_subtilis,k141_85,20146,29.424609935972484
131,MEGAHIT,Bacillus_subtilis,k141_565,4454,60
132,MEGAHIT,Bacillus_subtilis,k141_264,19867,60
133,MEGAHIT,Bacillus_subtilis,k141_88,13339,60
134,MEGAHIT,Bacillus_subtilis,k141_566,14015,60
135,MEGAHIT,Bacillus_subtilis,k141_575,11838,40.73278335635876
136,MEGAHIT,Bacillus_subtilis,k141_582,12606,60
137,MEGAHIT,Bacillus_subtilis,k141_585,4143,33.16284937634318
138,MEGAHIT,Bacillus_subtilis,k141_477,84460,43.245910857608074
139,MEGAHIT,Bacillus_subtilis,k141_90,57896,47.626485596170696
140,MEGAHIT,Bacillus_subtilis,k141_480,42339,43.257106005885134
141,MEGAHIT,Bacillus_subtilis,k141_93,16174,60
142,MEGAHIT,Bacillus_subtilis,k141_481,3808,32.79666944048457
143,MEGAHIT,Bacillus_subtilis,k141_483,10761,60
144,MEGAHIT,Bacillus_subtilis,k141_95,21507,60
145,MEGAHIT,Bacillus_subtilis,k141_486,21449,60
146,MEGAHIT,Bacillus_subtilis,k141_360,10061,40.02641149000227
147,MEGAHIT,Bacillus_subtilis,k141_789,25760,35.078558716959
148,MEGAHIT,Bacillus_subtilis,k141_590,27480,41.379867327237186
149,MEGAHIT,Bacillus_subtilis,k141_495,14006,60
150,MEGAHIT,Bacillus_subtilis,k141_792,22115,38.67565688985802
151,MEGAHIT,Bacillus_subtilis,k141_591,24032,43.80789915324623
152,MEGAHIT,Bacillus_subtilis,k141_797,3221,60
153,MEGAHIT,Bacillus_subtilis,k141_505,11190,40.488300865282774
154,MEGAHIT,Bacillus_subtilis,k141_131,25477,60
155,MEGAHIT,Bacillus_subtilis,k141_593,24111,40.8118522738349
156,MEGAHIT,Bacillus_subtilis,k141_361,61990,60
157,MEGAHIT,Bacillus_subtilis,k141_135,24493,43.89041982497648
158,MEGAHIT,Bacillus_subtilis,k141_594,15724,60
159,MEGAHIT,Bacillus_subtilis,k141_142,2782,29.672358709363774
160,MEGAHIT,Bacillus_subtilis,k141_144,11277,60
161,MEGAHIT,Bacillus_subtilis,k141_374,29641,60
162,MEGAHIT,Bacillus_subtilis,k141_595,34576,42.377447538754886
163,MEGAHIT,Bacillus_subtilis,k141_596,4281,33.30515232170319
164,MEGAHIT,Bacillus_subtilis,k141_597,6150,60
165,MEGAHIT,Bacillus_subtilis,k141_379,21922,40.39850177749746
166,MEGAHIT,Bacillus_subtilis,k141_599,44601,43.48314600483859
167,MEGAHIT,Bacillus_subtilis,k141_601,11557,60
168,MEGAHIT,Bacillus_subtilis,k141_683,27003,60
169,MEGAHIT,Bacillus_subtilis,k141_605,2192,60
170,MEGAHIT,Bacillus_subtilis,k141_607,25343,60
171,MEGAHIT,Bacillus_subtilis,k141_691,57587,39.152264144943146
172,MEGAHIT,Bacillus_subtilis,k141_608,10846,35.581483453798384
173,MEGAHIT,Bacillus_subtilis,k141_692,20921,38.43461184753886
174,MEGAHIT,Bacillus_subtilis,k141_152,11154,35.70309385435942
175,MEGAHIT,Bacillus_subtilis,k141_695,5781,60
176,MEGAHIT,Bacillus_subtilis,k141_697,2422,60
177,MEGAHIT,Bacillus_subtilis,k141_154,5043,34.016589724951025
178,MEGAHIT,Bacillus_subtilis,k141_158,4473,60
179,MEGAHIT,Bacillus_subtilis,k141_159,2792,60
180,MEGAHIT,Bacillus_subtilis,k141_807,4231,60
181,MEGAHIT,Bacillus_subtilis,k141_702,23132,40.63183187967316
182,MEGAHIT,Bacillus_subtilis,k141_703,9353,32.71980930009401
183,MEGAHIT,Bacillus_subtilis,k141_704,7850,60
184,MEGAHIT,Bacillus_subtilis,k141_272,50328,42.24688417456897
185,MEGAHIT,Bacillus_subtilis,k141_273,2234,60
186,MEGAHIT,Bacillus_subtilis,k141_274,4986,60
187,MEGAHIT,Bacillus_subtilis,k141_275,5847,60
188,MEGAHIT,Bacillus_subtilis,k141_280,11285,37.514715677498934
189,MEGAHIT,Bacillus_subtilis,k141_284,13194,38.193464840804765
190,MEGAHIT,Bacillus_subtilis,k141_286,9480,60
