task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
84	d0/a5fcdb	postprocessing_wf:PLOT_CONTIG_DISTRIBUTION	-	COMPLETED	0	2022-08-26 02:11:36.910	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	9.8s	1.8s	-	110.0%	0.1%	87.6 MB	369.6 MB	29.6 MB	4.1 MB
88	8c/d2308b	postprocessing_wf:PROCESS_COMPLETNESS	-	COMPLETED	0	2022-08-26 02:11:36.917	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	9.8s	3s	-	107.1%	0.1%	116.5 MB	627.6 MB	68.1 MB	44.9 MB
85	fc/6d58dd	postprocessing_wf:PLOT_NAX	-	COMPLETED	0	2022-08-26 02:11:36.921	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	9.8s	3.6s	-	101.3%	0.1%	102.5 MB	403.9 MB	66.8 MB	45 MB
89	60/f78604	postprocessing_wf:PLOT_LX	-	COMPLETED	0	2022-08-26 02:11:36.925	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	9.8s	3s	-	101.2%	0.1%	101.8 MB	403.2 MB	66.8 MB	44.9 MB
86	35/747618	mapping_wf:PROCESS_ASSEMBLY_STATS_MAPPING	-	COMPLETED	0	2022-08-26 02:11:36.932	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	9.8s	1.4s	-	87.2%	0.0%	45.8 MB	312.7 MB	7.8 MB	32 KB
90	c5/e1c8d2	postprocessing_wf:PLOT_NGX	-	COMPLETED	0	2022-08-26 02:11:36.928	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	14.5s	4.8s	-	84.2%	0.1%	101.4 MB	403.7 MB	66.8 MB	45 MB
83	af/5aa8fe	postprocessing_wf:PLOT_GAP_REFERENCE	-	COMPLETED	0	2022-08-26 02:11:06.916	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	1m 35s	1m	-	100.0%	2.2%	2.7 GB	3 GB	67.6 MB	53.2 MB
87	97/014ee9	postprocessing_wf:PROCESS_SHRIMP_PLOT	-	COMPLETED	0	2022-08-26 02:11:36.914	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	1m 15s	1m 9s	-	100.1%	0.1%	84.5 MB	367.1 MB	67.6 MB	46.8 MB
76	58/86752b	postprocessing_wf:SNP_ASSESSMENT	Unicycler	COMPLETED	0	2022-08-26 02:09:36.892	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	12m 30s	12m 18s	-	100.1%	0.1%	160.2 MB	441.7 MB	195.7 MB	5.7 MB
91	23/9c2643	postprocessing_wf:PLOT_SNP_REFERENCE	-	COMPLETED	0	2022-08-26 02:22:06.944	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	54.7s	41.5s	-	99.4%	0.2%	211 MB	512.4 MB	121.3 MB	91.8 MB
71	c6/954dd6	mapping_wf:READ_MAPPING	Unicycler	COMPLETED	0	2022-08-26 02:09:06.899	docker:cimendes/minimap2:2.22-1	16	3d	-	64 GB	42m 45s	42m 13s	-	186.6%	1.7%	2.2 GB	3.7 GB	35.5 GB	15.7 GB
92	61/384271	mapping_wf:ASSEMBLY_STATS_GLOBAL	Unicycler	COMPLETED	0	2022-08-26 02:51:37.048	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	14.9s	1.4s	-	105.2%	0.0%	57.2 MB	339.8 MB	44.1 MB	1008 B
93	ce/d91e99	mapping_wf:PROCESS_ASSEMBLY_STATS_GLOBAL	-	COMPLETED	0	2022-08-26 02:52:07.049	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	29.7s	700ms	-	140.9%	0.0%	7.6 MB	11.2 MB	7.8 MB	3.1 KB
94	c1/81cfaa	report_wf:COMPILE_REPORT	-	COMPLETED	0	2022-08-26 02:52:37.050	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	34.6s	5.4s	-	96.2%	0.1%	179.9 MB	462.7 MB	86.6 MB	45.8 MB
