task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
204	3f/c96e4e	SNP_ASSESSMENT	metaSPAdes	COMPLETED	0	2021-10-23 14:46:22.773	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	9.9s	5.9s	-	71.3%	0.1%	105.8 MB	386.2 MB	96.9 MB	47.8 KB
202	a6/0ff1d0	GAP_ASSESSMENT	metaSPAdes	COMPLETED	0	2021-10-23 14:46:22.770	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.9s	15.6s	-	92.4%	0.3%	398.5 MB	684.7 MB	96.9 MB	8.6 KB
203	79/964cd9	ASSEMBLY_STATS_MAPPING	metaSPAdes	COMPLETED	0	2021-10-23 14:46:22.778	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	34.8s	28.6s	-	93.3%	0.2%	225.1 MB	505.5 MB	110.2 MB	200.7 KB
42	d7/7bf634	IDBA	LHS	COMPLETED	0	2021-10-23 13:02:46.786	docker:cimendes/idba:1.1.3-1	8	1d	-	32 GB	1h 46m 50s	1h 46m 44s	-	680.9%	11.0%	27.7 GB	28.8 GB	17.6 GB	6.9 GB
206	49/a4fe71	FILTER_ASSEMBLY	IDBA-UD	COMPLETED	0	2021-10-23 14:49:37.763	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	4.9s	1s	-	132.7%	0.0%	13.2 MB	128.9 MB	18.3 MB	13.2 MB
208	b4/75682f	ASSEMBLY_MAPPING	IDBA-UD	COMPLETED	0	2021-10-23 14:49:42.771	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	14.9s	7.6s	-	422.6%	0.3%	750.2 MB	1.1 GB	101.8 MB	106.8 KB
209	e0/134d64	MISASSEMBLY	IDBA-UD	COMPLETED	0	2021-10-23 14:49:57.808	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	4.8s	2.5s	-	84.2%	0.1%	74.1 MB	356.1 MB	13.8 MB	2.3 KB
210	73/2fd352	SNP_ASSESSMENT	IDBA-UD	COMPLETED	0	2021-10-23 14:49:57.804	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	9.9s	3.9s	-	55.0%	0.1%	104.9 MB	386 MB	97.6 MB	8.1 KB
212	db/76c5dc	GAP_ASSESSMENT	IDBA-UD	COMPLETED	0	2021-10-23 14:49:57.800	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.9s	13.7s	-	94.6%	0.3%	410.1 MB	694.2 MB	97.6 MB	18.4 KB
211	4d/24a6f9	ASSEMBLY_STATS_MAPPING	IDBA-UD	COMPLETED	0	2021-10-23 14:49:57.861	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	29.8s	23.8s	-	99.0%	0.2%	219.4 MB	500.4 MB	110.9 MB	225.1 KB
11	63/9545c5	GATBMINIAPIPELINE	LHS	COMPLETED	0	2021-10-23 12:59:46.764	docker:cimendes/gatb-minia-pipeline:31.07.2020-1	8	1d	-	32 GB	1h 53m	1h 52m 53s	-	555.1%	2.9%	7.4 GB	12.5 GB	156.9 GB	42.5 GB
213	31/5be25f	FILTER_ASSEMBLY	GATBMiniaPipeline	COMPLETED	0	2021-10-23 14:52:47.825	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	5s	1s	-	110.0%	0.0%	13.9 MB	374.7 MB	16.4 MB	13.1 MB
215	09/03ba76	ASSEMBLY_MAPPING	GATBMiniaPipeline	COMPLETED	0	2021-10-23 14:52:52.809	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	14.9s	8.7s	-	383.0%	0.3%	724.8 MB	1.1 GB	101.7 MB	131.1 KB
217	40/9fc421	SNP_ASSESSMENT	GATBMiniaPipeline	COMPLETED	0	2021-10-23 14:53:07.801	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	9.9s	3.9s	-	58.2%	0.1%	105.2 MB	386 MB	97.9 MB	6.1 KB
219	2a/492baf	MISASSEMBLY	GATBMiniaPipeline	COMPLETED	0	2021-10-23 14:53:07.813	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	9.8s	2s	-	101.6%	0.0%	48.5 MB	323.9 MB	13.8 MB	2.4 KB
218	05/d91edc	GAP_ASSESSMENT	GATBMiniaPipeline	COMPLETED	0	2021-10-23 14:53:07.805	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.9s	14.7s	-	91.6%	0.3%	350.3 MB	652.8 MB	97.9 MB	40.9 KB
216	5f/21cb00	ASSEMBLY_STATS_MAPPING	GATBMiniaPipeline	COMPLETED	0	2021-10-23 14:53:07.809	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	39.8s	32s	-	96.5%	0.4%	521.2 MB	801 MB	111.1 MB	279.9 KB
140	80/461223	READ_MAPPING	metaSPAdes	COMPLETED	0	2021-10-23 13:58:47.373	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	55m 35s	55m 30s	-	155.0%	1.1%	2.9 GB	3.8 GB	35.2 GB	23.4 GB
220	3d/f0dca5	ASSEMBLY_STATS_GLOBAL	metaSPAdes	COMPLETED	0	2021-10-23 14:54:22.809	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	5s	1.7s	-	97.2%	0.0%	49.6 MB	329.6 MB	23.1 MB	971 B
32	d5/ec3933	SPADES	LHS	COMPLETED	0	2021-10-23 12:59:46.860	docker:cimendes/spades:3.15.3-1	8	1d	-	32 GB	1h 56m 54s	1h 56m 44s	-	500.9%	1.8%	4.6 GB	7.4 GB	52.9 GB	34 GB
221	39/7cdaeb	FILTER_ASSEMBLY	SPAdes	COMPLETED	0	2021-10-23 14:56:42.844	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	4.9s	1.1s	-	115.5%	0.0%	13.3 MB	128.9 MB	20.2 MB	12.7 MB
223	c3/e57380	ASSEMBLY_MAPPING	SPAdes	COMPLETED	0	2021-10-23 14:56:47.864	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	14.9s	8.1s	-	421.1%	0.3%	721.6 MB	1.2 GB	101.3 MB	316.2 KB
226	3f/6badf3	SNP_ASSESSMENT	SPAdes	COMPLETED	0	2021-10-23 14:57:02.839	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	9.9s	4.4s	-	61.6%	0.1%	105 MB	386 MB	100 MB	14.4 KB
225	6d/3cd237	MISASSEMBLY	SPAdes	COMPLETED	0	2021-10-23 14:57:02.847	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	9.7s	1.7s	-	112.9%	0.1%	65.3 MB	346.8 MB	14 MB	2 KB
227	d4/442676	GAP_ASSESSMENT	SPAdes	COMPLETED	0	2021-10-23 14:57:02.843	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.8s	14.6s	-	94.9%	0.3%	340.4 MB	621.5 MB	100 MB	53.7 KB
224	60/5605d5	ASSEMBLY_STATS_MAPPING	SPAdes	COMPLETED	0	2021-10-23 14:57:02.852	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	34.6s	29.2s	-	99.2%	0.2%	225.2 MB	506.2 MB	113.1 MB	406.5 KB
34	b7/0a1b39	SPADES	ERR2935805	COMPLETED	0	2021-10-23 12:59:46.856	docker:cimendes/spades:3.15.3-1	8	1d	-	32 GB	1h 59m 24s	1h 59m 16s	-	484.2%	3.3%	8.4 GB	10.4 GB	53.4 GB	95 GB
228	a0/fc8436	FILTER_ASSEMBLY	SPAdes	COMPLETED	0	2021-10-23 14:59:12.845	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	4.9s	1.1s	-	137.2%	0.0%	12.1 MB	126.8 MB	33.3 MB	19.1 MB
230	13/630978	ASSEMBLY_MAPPING	SPAdes	COMPLETED	0	2021-10-23 14:59:17.844	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	14.9s	8.3s	-	426.2%	0.4%	967.9 MB	2 GB	107.7 MB	418.7 KB
233	04/2d18eb	MISASSEMBLY	SPAdes	COMPLETED	0	2021-10-23 14:59:32.849	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	14.9s	8.8s	-	95.4%	0.1%	79.6 MB	360.9 MB	14.1 MB	223.9 KB
