,Assembler,Reference,Contig,Contig Length,Phred Quality Score
283,BCALM2,Bacillus_subtilis,153907,1086,60
284,BCALM2,Bacillus_subtilis,153999,2895,60
285,BCALM2,Bacillus_subtilis,154092,1570,60
286,BCALM2,Bacillus_subtilis,154439,3398,60
287,BCALM2,Bacillus_subtilis,154488,2528,60
288,BCALM2,Bacillus_subtilis,154500,1642,60
289,BCALM2,Bacillus_subtilis,154550,4221,60
290,BCALM2,Bacillus_subtilis,155162,1324,60
291,BCALM2,Bacillus_subtilis,155395,1123,60
292,BCALM2,Bacillus_subtilis,155422,1124,60
293,BCALM2,Bacillus_subtilis,155466,1744,60
294,BCALM2,Bacillus_subtilis,155572,1462,60
295,BCALM2,Bacillus_subtilis,155948,3098,60
296,BCALM2,Bacillus_subtilis,155976,1836,60
297,BCALM2,Bacillus_subtilis,156026,1825,60
298,BCALM2,Bacillus_subtilis,156368,1284,60
299,BCALM2,Bacillus_subtilis,156390,3221,60
300,BCALM2,Bacillus_subtilis,156769,2531,60
301,BCALM2,Bacillus_subtilis,156798,2328,60
302,BCALM2,Bacillus_subtilis,156954,1704,60
303,BCALM2,Bacillus_subtilis,157074,1546,60
304,BCALM2,Bacillus_subtilis,157602,2026,60
305,BCALM2,Bacillus_subtilis,157731,1127,60
306,BCALM2,Bacillus_subtilis,157740,1207,60
307,BCALM2,Bacillus_subtilis,157958,1339,60
308,BCALM2,Bacillus_subtilis,158205,3185,60
309,BCALM2,Bacillus_subtilis,158223,2672,60
310,BCALM2,Bacillus_subtilis,158243,1361,60
311,BCALM2,Bacillus_subtilis,158279,2750,60
312,BCALM2,Bacillus_subtilis,158311,1162,60
313,BCALM2,Bacillus_subtilis,158685,1759,60
314,BCALM2,Bacillus_subtilis,158751,1015,60
315,BCALM2,Bacillus_subtilis,159104,1038,60
316,BCALM2,Bacillus_subtilis,159195,1302,60
317,BCALM2,Bacillus_subtilis,159258,1899,60
318,BCALM2,Bacillus_subtilis,159313,1958,60
319,BCALM2,Bacillus_subtilis,159348,1982,60
320,BCALM2,Bacillus_subtilis,159556,1848,60
321,BCALM2,Bacillus_subtilis,159625,1152,60
322,BCALM2,Bacillus_subtilis,159711,2250,60
323,BCALM2,Bacillus_subtilis,159723,1160,60
324,BCALM2,Bacillus_subtilis,159762,1081,60
325,BCALM2,Bacillus_subtilis,159838,2909,60
326,BCALM2,Bacillus_subtilis,159966,2198,60
327,BCALM2,Bacillus_subtilis,159980,2356,60
328,BCALM2,Bacillus_subtilis,160152,3765,60
329,BCALM2,Bacillus_subtilis,160247,2804,60
330,BCALM2,Bacillus_subtilis,160282,1006,60
331,BCALM2,Bacillus_subtilis,160450,2202,60
332,BCALM2,Bacillus_subtilis,160566,1726,60
333,BCALM2,Bacillus_subtilis,160791,1593,60
334,BCALM2,Bacillus_subtilis,160938,1323,60
335,BCALM2,Bacillus_subtilis,160982,1482,60
336,BCALM2,Bacillus_subtilis,161058,2135,60
337,BCALM2,Bacillus_subtilis,161115,2163,60
338,BCALM2,Bacillus_subtilis,161235,1505,60
339,BCALM2,Bacillus_subtilis,161282,1109,60
340,BCALM2,Bacillus_subtilis,161393,1154,60
341,BCALM2,Bacillus_subtilis,161569,2447,60
342,BCALM2,Bacillus_subtilis,161760,1928,60
343,BCALM2,Bacillus_subtilis,161854,2311,60
344,BCALM2,Bacillus_subtilis,161967,1857,60
345,BCALM2,Bacillus_subtilis,162112,1331,60
346,BCALM2,Bacillus_subtilis,162310,1047,60
347,BCALM2,Bacillus_subtilis,162394,1154,60
348,BCALM2,Bacillus_subtilis,162638,2633,60
349,BCALM2,Bacillus_subtilis,162886,1335,60
350,BCALM2,Bacillus_subtilis,163062,1671,60
351,BCALM2,Bacillus_subtilis,163086,1366,60
352,BCALM2,Bacillus_subtilis,164184,1093,60
353,BCALM2,Bacillus_subtilis,164253,1089,60
354,BCALM2,Bacillus_subtilis,164310,1662,60
355,BCALM2,Bacillus_subtilis,164606,1315,60
356,BCALM2,Bacillus_subtilis,164610,3376,60
357,BCALM2,Bacillus_subtilis,164650,2175,60
358,BCALM2,Bacillus_subtilis,164809,1519,60
359,BCALM2,Bacillus_subtilis,165275,1083,60
360,BCALM2,Bacillus_subtilis,165356,1017,60
361,BCALM2,Bacillus_subtilis,165576,3248,60
362,BCALM2,Bacillus_subtilis,165584,1347,60
363,BCALM2,Bacillus_subtilis,166180,2687,60
364,BCALM2,Bacillus_subtilis,166332,3173,60
365,BCALM2,Bacillus_subtilis,166674,1884,60
366,BCALM2,Bacillus_subtilis,166870,4041,60
367,BCALM2,Bacillus_subtilis,166919,1074,60
368,BCALM2,Bacillus_subtilis,166929,1293,60
369,BCALM2,Bacillus_subtilis,166933,2124,60
370,BCALM2,Bacillus_subtilis,167008,1528,60
371,BCALM2,Bacillus_subtilis,167203,1834,60
372,BCALM2,Bacillus_subtilis,168248,1313,60
373,BCALM2,Bacillus_subtilis,168378,1904,60
374,BCALM2,Bacillus_subtilis,168428,1450,60
375,BCALM2,Bacillus_subtilis,168441,2494,60
376,BCALM2,Bacillus_subtilis,168459,2380,60
377,BCALM2,Bacillus_subtilis,168461,1043,60
378,BCALM2,Bacillus_subtilis,168551,4306,60
379,BCALM2,Bacillus_subtilis,168636,3650,60
380,BCALM2,Bacillus_subtilis,168806,1749,60
381,BCALM2,Bacillus_subtilis,168848,1783,60
382,BCALM2,Bacillus_subtilis,168916,1465,60
383,BCALM2,Bacillus_subtilis,168989,3395,60
384,BCALM2,Bacillus_subtilis,169024,1352,60
385,BCALM2,Bacillus_subtilis,169055,1082,60
386,BCALM2,Bacillus_subtilis,169090,1516,60
387,BCALM2,Bacillus_subtilis,169161,2360,60
388,BCALM2,Bacillus_subtilis,169172,2787,60
389,BCALM2,Bacillus_subtilis,169180,2246,60
390,BCALM2,Bacillus_subtilis,169462,1497,60
391,BCALM2,Bacillus_subtilis,169516,3223,60
392,BCALM2,Bacillus_subtilis,169669,1587,60
393,BCALM2,Bacillus_subtilis,169705,3312,60
394,BCALM2,Bacillus_subtilis,169832,1945,60
395,BCALM2,Bacillus_subtilis,170155,1518,60
396,BCALM2,Bacillus_subtilis,170172,3542,60
397,BCALM2,Bacillus_subtilis,170356,2876,60
398,BCALM2,Bacillus_subtilis,170358,1316,60
399,BCALM2,Bacillus_subtilis,170768,1027,60
400,BCALM2,Bacillus_subtilis,170859,1553,60
401,BCALM2,Bacillus_subtilis,171031,1790,60
402,BCALM2,Bacillus_subtilis,171157,1859,60
403,BCALM2,Bacillus_subtilis,171184,1288,60
404,BCALM2,Bacillus_subtilis,171283,1024,60
405,BCALM2,Bacillus_subtilis,171417,1804,60
406,BCALM2,Bacillus_subtilis,171840,1858,60
407,BCALM2,Bacillus_subtilis,172054,1352,60
408,BCALM2,Bacillus_subtilis,172258,1858,60
409,BCALM2,Bacillus_subtilis,172295,3130,60
410,BCALM2,Bacillus_subtilis,172722,1896,60
411,BCALM2,Bacillus_subtilis,172852,9680,60
412,BCALM2,Bacillus_subtilis,172940,2075,60
413,BCALM2,Bacillus_subtilis,173363,1531,60
414,BCALM2,Bacillus_subtilis,173632,2408,60
415,BCALM2,Bacillus_subtilis,173685,1650,60
416,BCALM2,Bacillus_subtilis,173903,2046,60
417,BCALM2,Bacillus_subtilis,174145,2361,60
418,BCALM2,Bacillus_subtilis,174245,3960,60
419,BCALM2,Bacillus_subtilis,174468,4641,60
420,BCALM2,Bacillus_subtilis,174926,3894,60
421,BCALM2,Bacillus_subtilis,174933,1753,60
422,BCALM2,Bacillus_subtilis,174999,1464,60
423,BCALM2,Bacillus_subtilis,175042,1433,60
424,BCALM2,Bacillus_subtilis,175101,1623,60
425,BCALM2,Bacillus_subtilis,175255,1346,60
426,BCALM2,Bacillus_subtilis,175371,3186,60
427,BCALM2,Bacillus_subtilis,175379,1048,60
428,BCALM2,Bacillus_subtilis,175456,1564,60
429,BCALM2,Bacillus_subtilis,175505,1743,60
430,BCALM2,Bacillus_subtilis,175564,1028,60
431,BCALM2,Bacillus_subtilis,175620,4227,60
432,BCALM2,Bacillus_subtilis,175774,1463,60
433,BCALM2,Bacillus_subtilis,175789,1926,60
434,BCALM2,Bacillus_subtilis,175817,1044,60
435,BCALM2,Bacillus_subtilis,176017,3046,60
436,BCALM2,Bacillus_subtilis,176185,1071,60
437,BCALM2,Bacillus_subtilis,176187,2494,60
438,BCALM2,Bacillus_subtilis,176243,1325,60
439,BCALM2,Bacillus_subtilis,176255,1507,60
440,BCALM2,Bacillus_subtilis,176309,1278,60
441,BCALM2,Bacillus_subtilis,176362,4213,60
442,BCALM2,Bacillus_subtilis,176446,1216,60
443,BCALM2,Bacillus_subtilis,176835,2361,60
444,BCALM2,Bacillus_subtilis,176917,2216,60
445,BCALM2,Bacillus_subtilis,177042,2502,60
446,BCALM2,Bacillus_subtilis,177374,1493,60
447,BCALM2,Bacillus_subtilis,177482,1846,60
448,BCALM2,Bacillus_subtilis,177535,1313,60
449,BCALM2,Bacillus_subtilis,177600,1206,60
450,BCALM2,Bacillus_subtilis,177784,1411,60
451,BCALM2,Bacillus_subtilis,177876,3328,60
452,BCALM2,Bacillus_subtilis,177987,1068,60
453,BCALM2,Bacillus_subtilis,178603,2454,60
454,BCALM2,Bacillus_subtilis,178620,3054,60
455,BCALM2,Bacillus_subtilis,178644,3263,60
456,BCALM2,Bacillus_subtilis,178740,3022,60
457,BCALM2,Bacillus_subtilis,179056,1368,60
458,BCALM2,Bacillus_subtilis,179219,1311,60
459,BCALM2,Bacillus_subtilis,179256,1004,60
460,BCALM2,Bacillus_subtilis,179507,1831,60
461,BCALM2,Bacillus_subtilis,179592,2607,60
462,BCALM2,Bacillus_subtilis,179609,1120,60
463,BCALM2,Bacillus_subtilis,179836,1503,60
464,BCALM2,Bacillus_subtilis,180138,1038,60
465,BCALM2,Bacillus_subtilis,180324,1289,60
466,BCALM2,Bacillus_subtilis,180378,4389,60
467,BCALM2,Bacillus_subtilis,180385,1374,60
468,BCALM2,Bacillus_subtilis,180468,1349,60
469,BCALM2,Bacillus_subtilis,180543,1577,60
470,BCALM2,Bacillus_subtilis,180731,1699,60
471,BCALM2,Bacillus_subtilis,180786,1373,60
472,BCALM2,Bacillus_subtilis,180820,1929,60
473,BCALM2,Bacillus_subtilis,180869,1711,60
474,BCALM2,Bacillus_subtilis,181082,1050,60
475,BCALM2,Bacillus_subtilis,181083,1671,60
476,BCALM2,Bacillus_subtilis,181118,1202,60
477,BCALM2,Bacillus_subtilis,181383,1066,60
478,BCALM2,Bacillus_subtilis,181566,1168,60
479,BCALM2,Bacillus_subtilis,181628,2240,60
480,BCALM2,Bacillus_subtilis,181637,2206,60
481,BCALM2,Bacillus_subtilis,181812,1805,60
482,BCALM2,Bacillus_subtilis,182085,2015,60
483,BCALM2,Bacillus_subtilis,182152,1258,60
484,BCALM2,Bacillus_subtilis,182400,1261,60
485,BCALM2,Bacillus_subtilis,182417,2394,60
486,BCALM2,Bacillus_subtilis,182419,1945,60
487,BCALM2,Bacillus_subtilis,182433,7392,60
488,BCALM2,Bacillus_subtilis,182538,1020,60
489,BCALM2,Bacillus_subtilis,182795,1943,60
490,BCALM2,Bacillus_subtilis,182912,2211,60
491,BCALM2,Bacillus_subtilis,183093,1584,60
492,BCALM2,Bacillus_subtilis,183307,1485,60
493,BCALM2,Bacillus_subtilis,183543,1459,60
494,BCALM2,Bacillus_subtilis,183781,1179,60
495,BCALM2,Bacillus_subtilis,183989,1228,60
496,BCALM2,Bacillus_subtilis,184006,1517,60
497,BCALM2,Bacillus_subtilis,184118,1907,60
498,BCALM2,Bacillus_subtilis,184134,2774,60
499,BCALM2,Bacillus_subtilis,184142,3233,60
500,BCALM2,Bacillus_subtilis,184409,2705,60
501,BCALM2,Bacillus_subtilis,184506,2486,60
502,BCALM2,Bacillus_subtilis,184593,3827,60
503,BCALM2,Bacillus_subtilis,184634,1977,60
504,BCALM2,Bacillus_subtilis,184751,5517,60
505,BCALM2,Bacillus_subtilis,184762,1373,60
506,BCALM2,Bacillus_subtilis,185263,1753,60
507,BCALM2,Bacillus_subtilis,185296,1056,60
508,BCALM2,Bacillus_subtilis,185490,2190,60
509,BCALM2,Bacillus_subtilis,185491,1166,60
510,BCALM2,Bacillus_subtilis,186231,3616,60
511,BCALM2,Bacillus_subtilis,186820,1637,60
512,BCALM2,Bacillus_subtilis,186821,1041,60
513,BCALM2,Bacillus_subtilis,186832,1172,60
