task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
218	75/3fb5b5	GAP_ASSESSMENT	MEGAHIT	COMPLETED	0	2021-08-01 00:24:32.636	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	29.9s	27.1s	-	94.9%	0.3%	392 MB	849.6 MB	97.9 MB	19.4 KB
221	df/3d1795	SNP_ASSESSMENT	MEGAHIT	COMPLETED	0	2021-08-01 00:24:32.633	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	34.9s	32.7s	-	96.7%	0.1%	102.2 MB	543 MB	97.9 MB	464 KB
222	34/cad58f	ASSEMBLY_STATS_GLOBAL	metaSPAdes	COMPLETED	0	2021-08-01 00:25:02.694	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	5s	1.2s	-	154.6%	0.0%	54.4 MB	495.3 MB	37.3 MB	939 B
220	ff/61d9b3	ASSEMBLY_STATS_MAPPING	MEGAHIT	COMPLETED	0	2021-08-01 00:24:32.706	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	1m 5s	1m 1s	-	100.7%	0.3%	330.1 MB	827.9 MB	127.5 MB	77.1 KB
50	26/01e12c	SKESA	ERR2935805	COMPLETED	0	2021-07-31 23:44:47.415	docker:cimendes/skesa:2.4.0-1	4	-	-	16 GB	42m 8s	41m 59s	-	309.6%	7.9%	10 GB	11.5 GB	3 GB	8.6 MB
224	17/dd1692	FILTER_ASSEMBLY	SKESA	COMPLETED	0	2021-08-01 00:26:57.681	docker:pcerqueira/bbtools:38.44	4	-	-	8 GB	4.9s	1.4s	-	90.1%	0.0%	50.3 MB	2.9 GB	12 MB	5.7 MB
225	1f/63cce0	ASSEMBLY_MAPPING	SKESA	COMPLETED	0	2021-08-01 00:27:02.698	docker:cimendes/minimap2:2.17-1	4	-	-	8 GB	9.9s	7.1s	-	210.7%	0.5%	679.9 MB	1 GB	94.3 MB	533.4 KB
226	f8/5f2362	MISASSEMBLY	SKESA	COMPLETED	0	2021-08-01 00:27:12.701	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	4.8s	2.6s	-	95.3%	0.1%	73.5 MB	491.5 MB	14.2 MB	1.2 KB
228	6c/af0623	SNP_ASSESSMENT	SKESA	COMPLETED	0	2021-08-01 00:27:12.690	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	9.9s	3.6s	-	65.0%	0.1%	94.6 MB	536 MB	102.6 MB	1 KB
229	26/d94eb0	GAP_ASSESSMENT	SKESA	COMPLETED	0	2021-08-01 00:27:12.694	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	19.9s	16.4s	-	97.6%	0.3%	350 MB	791.4 MB	102.6 MB	209.8 KB
227	01/fdfac5	ASSEMBLY_STATS_MAPPING	SKESA	COMPLETED	0	2021-08-01 00:27:12.698	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	44.9s	39.5s	-	99.5%	0.1%	170.6 MB	611.3 MB	108.8 MB	406.7 KB
